시도,광역지자체,지표 중분류,지표 소분류,기준년월,지표값
강원특별자치도,영월군,관광서비스수요,레포츠여행유형 SNS언급량,202505,84.63
강원특별자치도,영월군,관광서비스수요,휴식힐링여행유형 SNS언급량,202505,78.9
강원특별자치도,영월군,관광서비스수요,미식여행유형 SNS언급량,202505,71.51
강원특별자치도,영월군,관광서비스수요,체험여행유형 SNS언급량,202505,74.54
강원특별자치도,영월군,관광서비스수요,쇼핑업 소비액,202505,59.83
강원특별자치도,영월군,관광서비스수요,식음료 소비액,202505,61.87
강원특별자치도,영월군,관광서비스수요,숙박업 소비액,202505,66.53
강원특별자치도,영월군,관광서비스수요,여가서비스업 소비액,202505,60.97
강원특별자치도,영월군,관광서비스수요,운송업 소비액,202505,65.95
강원특별자치도,영월군,관광서비스수요,내비게이션 숙박유형 검색량,202505,74.25
강원특별자치도,영월군,관광서비스수요,내비게이션 음식유형 검색량,202505,62.87
강원특별자치도,영월군,관광서비스수요,내비게이션 쇼핑유형 검색량,202505,64.59
강원특별자치도,영월군,문화자연자원 수요,내비게이션 문화관광유형 검색량,202505,66.61
강원특별자치도,영월군,문화자연자원 수요,내비게이션 레저스포츠유형 검색량,202505,68.0
강원특별자치도,영월군,문화자연자원 수요,내비게이션 역사관광 유형 검색량,202505,77.63
강원특별자치도,영월군,문화자연자원 수요,내비게이션 체험관광 유형 검색량,202505,67.34
강원특별자치도,영월군,문화자연자원 수요,내비게이션 자연관광 유형 검색량,202505,67.41
강원특별자치도,영월군,관광체류강도,타권역 방문자 비중,202505,84.49
강원특별자치도,영월군,관광체류강도,숙박 비중,202505,89.02
강원특별자치도,영월군,관광체류강도,1박 방문자수,202505,62.3
강원특별자치도,영월군,관광체류강도,2박 방문자수,202505,71.23
강원특별자치도,영월군,관광체류강도,3박 방문자수,202505,63.55
강원특별자치도,영월군,관광소비강도,외지인 소비액,202505,64.08
강원특별자치도,영월군,관광소비강도,전체 대비 외지인소비액 비중,202505,80.97
강원특별자치도,영월군,관광소비강도,방문량대비방문 소비액,202505,69.44
강원특별자치도,영월군,관광객 다양성,10대 방문객수,202505,58.12
강원특별자치도,영월군,관광객 다양성,20대 방문객수,202505,57.95
강원특별자치도,영월군,관광객 다양성,30대 방문객수,202505,59.86
강원특별자치도,영월군,관광객 다양성,40대 방문객수,202505,59.03
강원특별자치도,영월군,관광객 다양성,50대 방문객수,202505,57.95
강원특별자치도,영월군,관광객 다양성,60대 방문객수,202505,60.84
강원특별자치도,영월군,관광객 다양성,70대 방문객수,202505,61.53
강원특별자치도,영월군,관광소비 다양성,10대 소비액,202505,66.45
강원특별자치도,영월군,관광소비 다양성,20대 소비액,202505,65.2
강원특별자치도,영월군,관광소비 다양성,30대 소비액,202505,64.38
강원특별자치도,영월군,관광소비 다양성,40대 소비액,202505,63.18
강원특별자치도,영월군,관광소비 다양성,50대 소비액,202505,63.27
강원특별자치도,영월군,관광소비 다양성,60대 소비액,202505,64.02
강원특별자치도,영월군,관광소비 다양성,70대 소비액,202505,64.79
강원특별자치도,영월군,국제적 다양성,외국인 소비액,202505,69.68
강원특별자치도,영월군,국제적 다양성,외국인 방문자수,202505,68.61
강원특별자치도,영월군,국제적 다양성,외국인 방문객 국적 다양성,202505,79.01
강원특별자치도,영월군,여행거리,강원특별자치도,202505,85.69
강원특별자치도,영월군,여행거리,경기도,202505,72.3
강원특별자치도,영월군,여행거리,경상남도,202505,62.2
강원특별자치도,영월군,여행거리,경상북도,202505,64.25
강원특별자치도,영월군,여행거리,광주광역시,202505,61.65
강원특별자치도,영월군,여행거리,대구광역시,202505,64.7
강원특별자치도,영월군,여행거리,대전광역시,202505,65.21
강원특별자치도,영월군,여행거리,부산광역시,202505,63.33
강원특별자치도,영월군,여행거리,서울특별시,202505,69.61
강원특별자치도,영월군,여행거리,세종특별자치시,202505,66.97
강원특별자치도,영월군,여행거리,울산광역시,202505,66.25
강원특별자치도,영월군,여행거리,인천광역시,202505,73.03
강원특별자치도,영월군,여행거리,전라남도,202505,61.88
강원특별자치도,영월군,여행거리,전북특별자치도,202505,62.53
강원특별자치도,영월군,여행거리,제주특별자치도,202505,63.81
강원특별자치도,영월군,여행거리,충청남도,202505,66.0
강원특별자치도,영월군,여행거리,충청북도,202505,75.67
강원특별자치도,영월군,관광서비스수요,레포츠여행유형 SNS언급량,202506,130.36
강원특별자치도,영월군,관광서비스수요,휴식힐링여행유형 SNS언급량,202506,87.5
강원특별자치도,영월군,관광서비스수요,미식여행유형 SNS언급량,202506,75.64
강원특별자치도,영월군,관광서비스수요,체험여행유형 SNS언급량,202506,77.16
강원특별자치도,영월군,관광서비스수요,쇼핑업 소비액,202506,59.83
강원특별자치도,영월군,관광서비스수요,식음료 소비액,202506,61.86
강원특별자치도,영월군,관광서비스수요,숙박업 소비액,202506,66.55
강원특별자치도,영월군,관광서비스수요,여가서비스업 소비액,202506,60.97
강원특별자치도,영월군,관광서비스수요,운송업 소비액,202506,65.94
강원특별자치도,영월군,관광서비스수요,내비게이션 숙박유형 검색량,202506,73.02
강원특별자치도,영월군,관광서비스수요,내비게이션 음식유형 검색량,202506,62.62
강원특별자치도,영월군,관광서비스수요,내비게이션 쇼핑유형 검색량,202506,64.08
강원특별자치도,영월군,문화자연자원 수요,내비게이션 문화관광유형 검색량,202506,66.01
강원특별자치도,영월군,문화자연자원 수요,내비게이션 레저스포츠유형 검색량,202506,67.43
강원특별자치도,영월군,문화자연자원 수요,내비게이션 역사관광 유형 검색량,202506,75.26
강원특별자치도,영월군,문화자연자원 수요,내비게이션 체험관광 유형 검색량,202506,67.49
강원특별자치도,영월군,문화자연자원 수요,내비게이션 자연관광 유형 검색량,202506,67.81
강원특별자치도,영월군,관광체류강도,타권역 방문자 비중,202506,82.94
강원특별자치도,영월군,관광체류강도,숙박 비중,202506,84.8
강원특별자치도,영월군,관광체류강도,1박 방문자수,202506,61.16
강원특별자치도,영월군,관광체류강도,2박 방문자수,202506,69.76
강원특별자치도,영월군,관광체류강도,3박 방문자수,202506,61.07
강원특별자치도,영월군,관광소비강도,외지인 소비액,202506,63.89
강원특별자치도,영월군,관광소비강도,전체 대비 외지인소비액 비중,202506,81.67
강원특별자치도,영월군,관광소비강도,방문량대비방문 소비액,202506,68.03
강원특별자치도,영월군,관광객 다양성,10대 방문객수,202506,57.78
강원특별자치도,영월군,관광객 다양성,20대 방문객수,202506,57.86
강원특별자치도,영월군,관광객 다양성,30대 방문객수,202506,59.88
강원특별자치도,영월군,관광객 다양성,40대 방문객수,202506,58.76
강원특별자치도,영월군,관광객 다양성,50대 방문객수,202506,57.89
강원특별자치도,영월군,관광객 다양성,60대 방문객수,202506,60.68
강원특별자치도,영월군,관광객 다양성,70대 방문객수,202506,61.11
강원특별자치도,영월군,관광소비 다양성,10대 소비액,202506,66.42
강원특별자치도,영월군,관광소비 다양성,20대 소비액,202506,65.18
강원특별자치도,영월군,관광소비 다양성,30대 소비액,202506,64.36
강원특별자치도,영월군,관광소비 다양성,40대 소비액,202506,62.85
강원특별자치도,영월군,관광소비 다양성,50대 소비액,202506,62.99
강원특별자치도,영월군,관광소비 다양성,60대 소비액,202506,63.81
강원특별자치도,영월군,관광소비 다양성,70대 소비액,202506,64.04
강원특별자치도,영월군,국제적 다양성,외국인 소비액,202506,69.68
강원특별자치도,영월군,국제적 다양성,외국인 방문자수,202506,68.52
강원특별자치도,영월군,국제적 다양성,외국인 방문객 국적 다양성,202506,82.49
강원특별자치도,영월군,여행거리,강원특별자치도,202506,84.56
강원특별자치도,영월군,여행거리,경기도,202506,71.43
강원특별자치도,영월군,여행거리,경상남도,202506,61.56
강원특별자치도,영월군,여행거리,경상북도,202506,64.82
강원특별자치도,영월군,여행거리,광주광역시,202506,61.55
강원특별자치도,영월군,여행거리,대구광역시,202506,64.53
강원특별자치도,영월군,여행거리,대전광역시,202506,65.21
강원특별자치도,영월군,여행거리,부산광역시,202506,62.88
강원특별자치도,영월군,여행거리,서울특별시,202506,68.69
강원특별자치도,영월군,여행거리,세종특별자치시,202506,65.98
강원특별자치도,영월군,여행거리,울산광역시,202506,65.61
강원특별자치도,영월군,여행거리,인천광역시,202506,71.59
강원특별자치도,영월군,여행거리,전라남도,202506,63.8
강원특별자치도,영월군,여행거리,전북특별자치도,202506,62.87
강원특별자치도,영월군,여행거리,제주특별자치도,202506,64.22
강원특별자치도,영월군,여행거리,충청남도,202506,66.29
강원특별자치도,영월군,여행거리,충청북도,202506,75.2
강원특별자치도,영월군,관광서비스수요,레포츠여행유형 SNS언급량,202507,139.6
강원특별자치도,영월군,관광서비스수요,휴식힐링여행유형 SNS언급량,202507,89.69
강원특별자치도,영월군,관광서비스수요,미식여행유형 SNS언급량,202507,68.03
강원특별자치도,영월군,관광서비스수요,체험여행유형 SNS언급량,202507,78.25
강원특별자치도,영월군,관광서비스수요,쇼핑업 소비액,202507,59.83
강원특별자치도,영월군,관광서비스수요,식음료 소비액,202507,61.87
강원특별자치도,영월군,관광서비스수요,숙박업 소비액,202507,66.6
강원특별자치도,영월군,관광서비스수요,여가서비스업 소비액,202507,60.99
강원특별자치도,영월군,관광서비스수요,운송업 소비액,202507,65.95
강원특별자치도,영월군,관광서비스수요,내비게이션 숙박유형 검색량,202507,77.76
강원특별자치도,영월군,관광서비스수요,내비게이션 음식유형 검색량,202507,63.59
강원특별자치도,영월군,관광서비스수요,내비게이션 쇼핑유형 검색량,202507,64.72
강원특별자치도,영월군,문화자연자원 수요,내비게이션 문화관광유형 검색량,202507,65.99
강원특별자치도,영월군,문화자연자원 수요,내비게이션 레저스포츠유형 검색량,202507,68.28
강원특별자치도,영월군,문화자연자원 수요,내비게이션 역사관광 유형 검색량,202507,73.73
강원특별자치도,영월군,문화자연자원 수요,내비게이션 체험관광 유형 검색량,202507,66.78
강원특별자치도,영월군,문화자연자원 수요,내비게이션 자연관광 유형 검색량,202507,70.99
강원특별자치도,영월군,관광체류강도,타권역 방문자 비중,202507,87.59
강원특별자치도,영월군,관광체류강도,숙박 비중,202507,92.94
