상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA010120220800643176,덤내슈퍼,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 대야리 254,강원특별자치도 영월군 김삿갓면 영월동로 1464,128.554262811373,37.1246557700449
MA010120220800669965,대영매운탕,,I2,음식,I201,한식,I20112,해산물 구이/찜,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 진별리 506-12,강원특별자치도 영월군 김삿갓면 영월동로 1131-21,128.535992027426,37.1297682243943
MA010120220800716022,대산생약초,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 와석리 919,강원특별자치도 영월군 김삿갓면 김삿갓로 216-19,128.602249437754,37.0802476610279
MA010120220801316373,히어리마켓,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 와석리 744,강원특별자치도 영월군 김삿갓면 김삿갓로 587-6,128.602885691102,37.1051148791982
MA010120220803070557,동강아름캠프,,I1,숙박,I101,일반 숙박,I10104,캠핑/글램핑,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 외룡리 717,강원특별자치도 영월군 김삿갓면 영월동로 2435,128.641473469422,37.1152272279849
MA010120220803367015,동강레포츠스쿨,,R1,예술·스포츠,R104,유원지·오락,R10409,수상/해양 레저업,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 진별리 506-13,강원특별자치도 영월군 김삿갓면 영월동로 1131-15,128.536166011258,37.1294686480591
MA010120220803726624,푸른산,,G2,소매,G219,식물 소매,G21901,꽃집,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 각동리 314-9,강원특별자치도 영월군 김삿갓면 길론길 10-6,128.525956458862,37.115842631319
MA010120220803913460,동강여울,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 각동리 509-3,강원특별자치도 영월군 김삿갓면 강변로 1311,128.522120178906,37.1169731279405
MA010120220804349624,미사밸리,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 와석리 185-4,강원특별자치도 영월군 김삿갓면 미사리길 348,128.640174619215,37.1009108613904
MA010120220804424878,가향민박,,I1,숙박,I101,일반 숙박,I10103,펜션,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 와석리 335-2,강원특별자치도 영월군 김삿갓면 김삿갓로 764,128.607755543466,37.1189058202913
MA010120220804539175,스테이브릴,,I1,숙박,I101,일반 숙박,I10103,펜션,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 와석리 507-24,강원특별자치도 영월군 김삿갓면 두릉골길 24-33,128.589179623487,37.1226340717524
MA010120220804593495,강원방송，동강가든,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 각동리 331,강원특별자치도 영월군 김삿갓면 강변로 1343,128.525050509118,37.1155479582107
MA010120220804673748,산골매점,,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 옥동리 342,강원특별자치도 영월군 김삿갓면 영월동로 1667,128.569781948034,37.1286137288326
MA010120220804674617,조제상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,영월군,51750325,김삿갓면,김삿갓면,강원특별자치도 영월군 김삿갓면 내리 75,강원특별자치도 영월군 김삿갓면 내리계곡로 43,128.752245678142,37.0699632635556
